ds,y
2010-01-01,296
2010-02-01,194
2010-03-01,265
2010-04-01,296
2010-05-01,334
2010-06-01,392
2010-07-01,859
2010-08-01,538
2010-09-01,457
2010-10-01,480
2010-11-01,369
2010-12-01,310
2011-01-01,332
2011-02-01,278
2011-03-01,336
2011-04-01,319
2011-05-01,323
2011-06-01,418
2011-07-01,780
2011-08-01,647
2011-09-01,562
2011-10-01,647
2011-11-01,451
2011-12-01,539
2012-01-01,589
2012-02-01,399
2012-03-01,540
2012-04-01,506
2012-05-01,526
2012-06-01,775
2012-07-01,955
2012-08-01,911
2012-09-01,784
2012-10-01,684
2012-11-01,783
2012-12-01,680
2013-01-01,401
2013-02-01,285
2013-03-01,401
2013-04-01,431
2013-05-01,542
2013-06-01,656
2013-07-01,990
2013-08-01,928
2013-09-01,799
2013-10-01,802
2013-11-01,814
2013-12-01,774
2014-01-01,719
2014-02-01,560
2014-03-01,526
2014-04-01,673
2014-05-01,661
2014-06-01,791
2014-07-01,1116
2014-08-01,937
2014-09-01,842
2014-10-01,802
2014-11-01,551
2014-12-01,531
2015-01-01,542
2015-02-01,347
2015-03-01,483
2015-04-01,463
2015-05-01,468
2015-06-01,494
2015-07-01,745
2015-08-01,630
2015-09-01,735
2015-10-01,664
2015-11-01,906
2015-12-01,440
2016-01-01,423
2016-02-01,436
2016-03-01,414
2016-04-01,390
2016-05-01,388
2016-06-01,437
2016-07-01,697
2016-08-01,560
2016-09-01,596
2016-10-01,493
2016-11-01,498
2016-12-01,357
2017-01-01,339
2017-02-01,422
2017-03-01,349
2017-04-01,417
2017-05-01,365
2017-06-01,423
2017-07-01,517
2017-08-01,414
2017-09-01,453
2017-10-01,489
2017-11-01,358
2017-12-01,509
2018-01-01,315
2018-02-01,241
2018-03-01,238
2018-04-01,234
2018-05-01,251
2018-06-01,238
2018-07-01,427
2018-08-01,371
2018-09-01,310
2018-10-01,278
2018-11-01,252
2018-12-01,245
2019-01-01,342
2019-02-01,213
2019-03-01,325
2019-04-01,385
2019-05-01,540
2019-06-01,473
2019-07-01,597
2019-08-01,469
2019-09-01,649
2019-10-01,719
2019-11-01,695
2019-12-01,753
2020-01-01,572
2020-02-01,153
